address,bathroom,bedroom,code,date,description,direct,floor,ground_area,juridical,kitchen,length,link_image,livingroom,name_project,parking,price,road_width,specific_address,terrace,title,type,url_page,usable_area,width
" 
                                                 Quốc lộ 1A ,                                                  Phường Thượng Thanh ,                                                  Quận Long Biên ,                                                   Thành phố Hà Nội                                              ", Có, 0, MS156521, 35 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 2, 35 m, Hợp đồng mua bán, Có, 0 m,https://nhadat24h.net.vn/storage/product/9433/336592504-775951720243394-3143353228400622500-n.jpg, Có, TƯ VẤN VÀ TIẾP NHẬN HỒ SƠ NHÀ Ở XÃ HỘI HIM LAM THƯỢNG THANH - LONG BIÊN HÀ NỘI GIÁ CỰC RẺ DT CĂN HỘ TỪ 35M2 -69M2, Không," 

                                                                                                635
                                                                                                Triệu                                            ", 5 m," 
                                                Đường 1 Thượng Thanh
                                            ", Không,TƯ VẤN VÀ TIẾP NHẬN HỒ SƠ NHÀ Ở XÃ HỘI HIM LAM THƯỢNG THANH - LONG BIÊN HÀ NỘI GIÁ CỰC RẺ DT CĂN HỘ TỪ 35M2 -69M2, Căn hộ chung cư,https://nhadat24h.net.vn/du-an/tu-van-va-tiep-nhan-ho-so-nha-o-xa-hoi-him-lam-thuong-thanh-long-bien-ha-noi-gia-cuc-re-dt-can-ho-tu-35m2-69m2/156521, 35 m, 0 m
" 
                                                 Đường Lê Văn Lương ,                                                  Phường Nhân Chính ,                                                  Quận Thanh Xuân ,                                                   Thành phố Hà Nội                                              ", Có, 1, MS156623, 68 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 2, 68 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/3860/1-29.jpg, Có," 💥 Cực rẻ Chỉ 2.6 Tỷ, Căn hộ N2F Lê Văn Lương, 68m2 2N + 1WC, Nhà đẹp, SĐCC 💥", Không," 

                                                                                                2.6
                                                                                                Tỷ                                            ", 30 m," 
                                                Đường Lê Văn Lương Nhân Chính
                                            ", Không,"💥 Cực rẻ Chỉ 2.6 Tỷ, Căn hộ N2F Lê Văn Lương, 68m2 2N + 1WC, Nhà đẹp, SĐCC 💥", Căn hộ chung cư,https://nhadat24h.net.vn/du-an/cuc-re-chi-26-ty-can-ho-n2f-le-van-luong-68m2-2n-1wc-nha-dep-sdcc/156623, 68 m, 0 m
" 
                                                 Đường Lê Văn Lương ,                                                  Phường Nhân Chính ,                                                  Quận Thanh Xuân ,                                                   Thành phố Hà Nội                                              ", Có, 1, MS156608, 74 m,"- Vị trí: Ngã tư Lê Văn Lương - Hoàng Minh Giám cạnh hồ điều hòa Nhân Chính, đi bộ ra BigC Thăng Long, Vincom Center. Đối diện công viên Thanh Xuân, ngày sát trường liên cấp Ngôi Sao, cạnh siêu thị, chợ trời...an sinh đỉnh"," 
                                                                                                            Không xác định
                                                    
                                                ", 3, 74 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/3860/0-2.jpg, Có," 💥 Cực rẻ 2.75 Tỷ, Căn hộ N2C Lê Văn Lương, 74m2 3N + 2WC, Căn góc đẹp, SĐCC 💥", Không," 

                                                                                                2.75
                                                                                                Tỷ                                            ", 30 m," 
                                                Đường Lê Văn Lương Nhân Chính
                                            ", Không,"💥 Cực rẻ 2.75 Tỷ, Căn hộ N2C Lê Văn Lương, 74m2 3N + 2WC, Căn góc đẹp, SĐCC 💥", Căn hộ chung cư,https://nhadat24h.net.vn/du-an/cuc-re-275-ty-can-ho-n2c-le-van-luong-74m2-3n-2wc-can-goc-dep-sdcc/156608, 74 m, 0 m
" 
                                                 Đường Võ Chí Công ,                                                  Phường Phú Thượng ,                                                  Quận Tây Hồ ,                                                   Thành phố Hà Nội                                              ", Có, 5, MS160660, 147 m,," 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Đông Nam
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
                                                ", 4, 147 m, Sổ Đỏ, Có, 10 m,https://nhadat24h.net.vn/storage/product/9352/z4186999132634-42dfa1e513ff7517263000ff1bb67c1b-1.jpg, Có, Bán căn hộ B501 chung cư Udic Westlake giá hấp dẫn, Không," 

                                                                                                6.4
                                                                                                Tỷ                                            ", 40 m," 
                                                Đường Võ Chí Công Phú Thượng
                                            ", Không,Bán căn hộ B501 chung cư Udic Westlake giá hấp dẫn, Căn hộ chung cư,https://nhadat24h.net.vn/du-an/ban-can-ho-b501-chung-cu-udic-westlake-gia-hap-dan/160660, 147 m, 14 m
" 
                                                 Đường Hoàng Quốc Việt ,                                                  Phường Nghĩa Đô ,                                                  Quận Cầu Giấy ,                                                   Thành phố Hà Nội                                              ", Có, 12, MS158568, 75 m,"Bán căn hộ lô góc chung cư CT2A KĐT NAM CƯỜNG 234 Hoàng Quốc Việt 75m2 3.3tỷ (2PN, 2WC, Khách, Bếp) full nội thất - 0934266313- Sổ đỏ chính chủ, pháp lý chuẩn. sẵn giao dịch"," 
                                                                                                            Không xác định
                                                    
                                                ", 2, 75 m, Sổ Đỏ, Có, 18 m,https://nhadat24h.net.vn/storage/product/1610/336673500-600783518595951-5683100322667358607-n.jpg, Có, Bán CHCC lô góc  CT2A KĐT NAM CƯỜNG 234 Hoàng Quốc Việt 75m2 3.3tỷ 0934266313, Không," 

                                                                                                3.3
                                                                                                Tỷ                                            ", 10 m," 
                                                Đường Hoàng Quốc Việt Nghĩa Đô
                                            ", Không,Bán CHCC lô góc  CT2A KĐT NAM CƯỜNG 234 Hoàng Quốc Việt 75m2 3.3tỷ 0934266313, Căn hộ chung cư,https://nhadat24h.net.vn/du-an/ban-chcc-lo-goc-ct2a-kdt-nam-cuong-234-hoang-quoc-viet-75m2-33ty-0934266313/158568, 75 m, 4 m
" 
                                                                                                 Phường Vĩnh Phú ,                                                  Thị xã Thuận An ,                                                   Tỉnh Bình Dương                                              ", Không, 0, MS152587, 53 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 2, 53 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/9230/1.jpg, Có, Chính chủ cần bán căn hộ chung cư SPlus Riverview Thuận An- Bình Dương. Giá chỉ 1 tỷ hơn, Không," 

                                                                                                1.25
                                                                                                Tỷ                                            ", 9 m," 
                                                Đường 38 Vĩnh Phú
                                            ", Không,Chính chủ cần bán căn hộ chung cư SPlus Riverview Thuận An- Bình Dương. Giá chỉ 1 tỷ hơn, Căn hộ chung cư,https://nhadat24h.net.vn/du-an/chinh-chu-can-ban-can-ho-chung-cu-splus-riverview-thuan-an-binh-duong-gia-chi-1-ty-hon/152587, 53 m, 0 m
" 
                                                                                                 Phường Vĩnh Niệm ,                                                  Quận Lê Chân ,                                                   Thành phố Hải Phòng                                              ", Không, 0, MS152569, 0 m,Quý khách muốn tham quan dự án và trải nghiệm căn hộ mẫu xin vui lòng liên hệ quản lý dự án .," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 0 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/8068/z4177296571929-80a9b9a49842b25365e250e8c0c7f72e.jpg, Có, CHUNG CƯ 𝙈𝙄𝙉𝘼𝙏𝙊 HẢI PHÒNG, Không,, 12 m," 
                                                Đường Bùi Viện Vĩnh Niệm
                                            ", Không,CHUNG CƯ 𝙈𝙄𝙉𝘼𝙏𝙊 HẢI PHÒNG, Căn hộ chung cư,https://nhadat24h.net.vn/du-an/chung-cu-hai-phong/152569, 0 m, 0 m
" 
                                                 Đường Võ Chí Công ,                                                  Phường Hoà Hải ,                                                  Quận Ngũ Hành Sơn ,                                                   Thành phố Đà Nẵng                                              ", Không, 0, MS152577, 0 m, ," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 0 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/1469/z4177962163313-380c36b70cb655e5f6aab7db324d09b2.jpg, Có, Lý do để sở hữa ngay căn hộ chung cư FPT Plaza Đà Nẵng, Không," 

                                                                                                1.3
                                                                                                Tỷ                                            ", 1 m," 
                                                Đường Võ Chí Công Hòa Hải
                                            ", Không,Lý do để sở hữa ngay căn hộ chung cư FPT Plaza Đà Nẵng, Căn hộ chung cư,https://nhadat24h.net.vn/du-an/ly-do-de-so-hua-ngay-can-ho-chung-cu-fpt-plaza-da-nang/152577, 0 m, 0 m
" 
                                                 Đường Trương Định ,                                                  Phường Giáp Bát ,                                                  Quận Hoàng Mai ,                                                   Thành phố Hà Nội                                              ", Có, 1, MS153934, 90 m,THIẾT KẾ:," 
                                                                                                            Không xác định
                                                    
                                                ", 2, 90 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/7650/1-3.jpg, Có," 💥 Chỉ 3,3 Tỷ - Đẹp Nhất Chung cư Nam Đô Complex Trương Định, 90m2 2N+2WC, SĐCC 💥", Không," 

                                                                                                3.3
                                                                                                Tỷ                                            ", 30 m," 
                                                Đường Trương Định Giáp Bát
                                            ", Không,"💥 Chỉ 3,3 Tỷ - Đẹp Nhất Chung cư Nam Đô Complex Trương Định, 90m2 2N+2WC, SĐCC 💥", Căn hộ chung cư,https://nhadat24h.net.vn/du-an/chi-33-ty-dep-nhat-chung-cu-nam-do-complex-truong-dinh-90m2-2n2wc-sdcc/153934, 90 m, 0 m
" 
                                                 Đường An Dương Vương ,                                                  Phường Phú Thượng ,                                                  Quận Tây Hồ ,                                                   Thành phố Hà Nội                                              ", Có, 15, MS152594, 130 m,," 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Đông
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
                                                ", 4, 130 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/8933/20221216102429-bf1d-wm-8.jpg, Có, Căn tầng 16 diện tích 130m² chung cư Packexim 1 giá rẻ, Không,, 20 m," 
                                                Đường An Dương Vương Phú Thượng
                                            ", Không,Căn tầng 16 diện tích 130m² chung cư Packexim 1 giá rẻ, Căn hộ chung cư,https://nhadat24h.net.vn/du-an/can-tang-16-dien-tich-130m2-chung-cu-packexim-1-gia-re/152594, 130 m, 0 m
" 
                                                 Hương lộ 1 ,                                                  Phường  An Lạc ,                                                  Quận Bình Tân ,                                                   Thành phố Hồ Chí Minh                                              ", Có, 25, MS152574, 62 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 2, 62 m, Sổ Đỏ, Có, 11 m,https://nhadat24h.net.vn/storage/product/7205/vison-3.jpg, Có, NGỘP CĂN HỘ VISION 2PN 62M2 0904609771, Không,, 1 m," 
                                                Đường 1 An Lạc
                                            ", Không,NGỘP CĂN HỘ VISION 2PN 62M2 0904609771, Căn hộ chung cư,https://nhadat24h.net.vn/du-an/ngop-can-ho-vision-2pn-62m2-0904609771/152574, 62 m, 6 m
" 
                                                                                                 Phường Dĩ An ,                                                  Thị xã Dĩ An ,                                                   Tỉnh Bình Dương                                              ", Có, 0, MS152595, 63 m,"– Địa chỉ: bcone garden TP Dĩ An ,BD"," 
                                                                                                            Không xác định
                                                    
                                                ", 2, 63 m, Sổ Đỏ, Có, 16 m,https://nhadat24h.net.vn/storage/product/2313/5ac3b4e4ef8490215583526caf4f303b-2816371632723314349.jpg, Có," Chính chủ  bán căn hộ trung cư bcone garden TP Dĩ An,Bình Dương", Không," 

                                                                                                1.8
                                                                                                Tỷ                                            ", 7 m," 
                                                Đường 1 Dĩ An
                                            ", Không,"Chính chủ  bán căn hộ trung cư bcone garden TP Dĩ An,Bình Dương", Căn hộ chung cư,https://nhadat24h.net.vn/du-an/chinh-chu-ban-can-ho-trung-cu-bcone-garden-tp-di-anbinh-duong/152595, 63 m, 4 m
" 
                                                                                                 Phường Thảo Điền ,                                                  Quận 2 ,                                                   Thành phố Hồ Chí Minh                                              ", Có, 1, MS152556, 145 m,"Địa chỉ: Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, TP HCM"," 
                                                                                                            Không xác định
                                                    
                                                ", 2, 145 m, Sổ Đỏ, Có, 10 m,https://nhadat24h.net.vn/storage/product/5196/n1-219.jpg, Có," Chính chủ cần bán căn hộ chung cư Phường Thảo Điền, Quận2, TP HCM", Không," 

                                                                                                13
                                                                                                Tỷ                                            ", 9 m," 
                                                Đường Nguyễn Văn Hưởng Thảo Điền
                                            ", Không,"Chính chủ cần bán căn hộ chung cư Phường Thảo Điền, Quận2, TP HCM", Căn hộ chung cư,https://nhadat24h.net.vn/du-an/chinh-chu-can-ban-can-ho-chung-cu-phuong-thao-dien-quan2-tp-hcm/152556, 145 m, 10 m
" 
                                                                                                 Phường Bình Hòa ,                                                  Thị xã Thuận An ,                                                   Tỉnh Bình Dương                                              ", Có, 0, MS152614, 36 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 1, 36 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/4646/z4178261968328-a2fb83a3614b323f0dd0bb730e6dad6d.jpg, Có, Bán căn hộ 36m2 cách Aeon BD 2km KDC Vietsing, Không," 

                                                                                                650
                                                                                                Triệu                                            ", 20 m," 
                                                Đường 10 Bình Hòa
                                            ", Không,Bán căn hộ 36m2 cách Aeon BD 2km KDC Vietsing, Căn hộ chung cư,https://nhadat24h.net.vn/du-an/ban-can-ho-36m2-cach-aeon-bd-2km-kdc-vietsing/152614, 36 m, 0 m
" 
                                                 Đường An Dương Vương ,                                                  Phường Phú Thượng ,                                                  Quận Tây Hồ ,                                                   Thành phố Hà Nội                                              ", Có, 15, MS152586, 193 m,," 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Đông
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
                                                ", 4, 193 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/8933/20211118103614-9283-wm-2.jpg, Có," Căn tầng 12 diện tích 193m² Packexim 1 Tây Hồ nhà đẹp , giá tốt", Không,, 20 m," 
                                                Đường An Dương Vương Phú Thượng
                                            ", Không,"Căn tầng 12 diện tích 193m² Packexim 1 Tây Hồ nhà đẹp , giá tốt", Căn hộ chung cư,https://nhadat24h.net.vn/du-an/can-tang-12-dien-tich-193m2-packexim-1-tay-ho-nha-dep-gia-tot/152586, 193 m, 0 m
" 
                                                 Đường Trịnh Văn Bô ,                                                  Phường Xuân Phương ,                                                  Quận Nam Từ Liêm ,                                                   Thành phố Hà Nội                                              ", Có, 10, MS152611, 98 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 3, 98 m, Sổ Hồng, Có, 15 m,https://nhadat24h.net.vn/storage/product/8926/238.jpg, Có, Bán căn hộ báo nhân dân xuân phương cầu vượt Trần Hữu Dực, Không," 

                                                                                                2.9
                                                                                                Tỷ                                            ", 1 m," 
                                                Đường Trịnh Văn Bô Xuân Phương
                                            ", Không,Bán căn hộ báo nhân dân xuân phương cầu vượt Trần Hữu Dực, Căn hộ chung cư,https://nhadat24h.net.vn/du-an/ban-can-ho-bao-nhan-dan-xuan-phuong-cau-vuot-tran-huu-duc/152611, 98 m, 6 m
" 
                                                                                                 Phường Thuận Giao ,                                                  Thị xã Thuận An ,                                                   Tỉnh Bình Dương                                              ", Có, 26, MS152645, 42 m,"Quý anh chị quan tâm mua ở đầu tư, liên hệ em tư vấn chi tiết"," 
                                                                                                            Không xác định
                                                    
                                                ", 2, 42 m, Hợp đồng mua bán, Có, 10 m,https://nhadat24h.net.vn/storage/product/2880/fa272f056a30b76eee21.jpg, Có," Sở hữu nhà ngay trung tâm thành phố, trả trước từ 150tr, hỗ trợ vay với lãi cố định 3 năm", Không," 

                                                                                                1.3
                                                                                                Tỷ                                            ", 2 m," 
                                                Đường Thuận Giao 25 Thuận Giao
                                            ", Không,"Sở hữu nhà ngay trung tâm thành phố, trả trước từ 150tr, hỗ trợ vay với lãi cố định 3 năm", Căn hộ chung cư,https://nhadat24h.net.vn/du-an/so-huu-nha-ngay-trung-tam-thanh-pho-tra-truoc-tu-150tr-ho-tro-vay-voi-lai-co-dinh-3-nam/152645, 42 m, 4 m
