address,bathroom,bedroom,code,date,description,direct,floor,ground_area,juridical,kitchen,length,link_image,livingroom,name_project,parking,price,road_width,specific_address,terrace,title,type,url_page,usable_area,width
" 
                                                                                                                                                 Huyện Nho Quan ,                                                   Tỉnh Lâm Đồng                                              ", Có, 7, MS279544, 74 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 13, 74 m, Sổ Đỏ, Có, 13 m,https://nhadat24h.net.vn/storage/product/16263/z4905576869342-9ebb6798fcea1f58b94af046c1f9647d.jpg, Có," Bán Khách sạn mặt tiền đường Hai Bà Trưng, Đà lạt. Diện tích 74m, đà hoàn công, pháp lý rõ ràng, Hạ giá chỉ còn 18 tỷ 500 triệu.", Không," 

                                                                                                18.5
                                                                                                Tỷ                                            ", 10 m," 
                                                Đường Hai Bà Trưng, 6
                                            ", Không,"Bán Khách sạn mặt tiền đường Hai Bà Trưng, Đà lạt. Diện tích 74m, đà hoàn công, pháp lý rõ ràng, Hạ giá chỉ còn 18 tỷ 500 triệu.",0,https://nhadat24h.net.vn/du-an/ban-khach-san-mat-tien-duong-hai-ba-trung-da-lat-dien-tich-74m-da-hoan-cong-phap-ly-ro-rang-ha-gia-chi-con-18-ty-500-trieu/279544, 74 m, 5.5 m
" 
                                                 Đường Số 3 ,                                                  Phường 9 ,                                                  Quận Gò Vấp ,                                                   Thành phố Hồ Chí Minh                                              ", Có, 3, MS279552, 88 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 4, 88 m, Sổ Hồng, Có, 20 m,https://nhadat24h.net.vn/storage/product/14910/320431745-538123405026387-7351636433420724591-n-1.jpg, Có," Bán Gấp Nhà HXH Đường số 3, 3 Tầng 88m2 Ngang 4.5m Chỉ 6.9 Tỷ", Không," 

                                                                                                6.9
                                                                                                Tỷ                                            ", 5 m," 
                                                Đường Đường Số 3, 9
                                            ", Không,"Bán Gấp Nhà HXH Đường số 3, 3 Tầng 88m2 Ngang 4.5m Chỉ 6.9 Tỷ",0,https://nhadat24h.net.vn/du-an/ban-gap-nha-hxh-duong-so-3-3-tang-88m2-ngang-45m-chi-69-ty/279552, 88 m, 4.5 m
" 
                                                 Phố Chùa Láng ,                                                  Phường Thịnh Quang ,                                                  Quận Đống Đa ,                                                   Thành phố Hà Nội                                              ", Không, 7, MS279554, 71 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 1, 71 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/8630/378274597-857895459227635-1025524514511029947-n.jpg, Có," Bán nhà 7 tầng thang máy mặt phố Láng, Đống Đa, doanh thu hơn 1 tỷ/năm, 71m, 26.5 tỷ.", Không," 

                                                                                                26.5
                                                                                                Tỷ                                            ", 1 m," 
                                                Đường Láng, Thịnh Quang
                                            ", Không,"Bán nhà 7 tầng thang máy mặt phố Láng, Đống Đa, doanh thu hơn 1 tỷ/năm, 71m, 26.5 tỷ.",0,https://nhadat24h.net.vn/du-an/ban-nha-7-tang-thang-may-mat-pho-lang-dong-da-doanh-thu-hon-1-tynam-71m-265-ty/279554, 71 m, 0 m
" 
                                                 Đường Nguyễn Văn Huyên ,                                                  Phường Quan Hoa ,                                                  Quận Cầu Giấy ,                                                   Thành phố Hà Nội                                              ", Không, 10, MS279559, 198 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 1, 198 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/7822/375282637-2652026348281094-1466818103348208424-n.jpg, Có," Bán tòa 10 tầng thang máy mặt phố Nguyễn Văn Huyên, Cầu Giấy, 198m, Mặt Tiền 9m, 150 tỷ.", Không," 

                                                                                                150
                                                                                                Tỷ                                            ", 1 m," 
                                                Đường Nguyễn Văn Huyên, Quan Hoa
                                            ", Không,"Bán tòa 10 tầng thang máy mặt phố Nguyễn Văn Huyên, Cầu Giấy, 198m, Mặt Tiền 9m, 150 tỷ.",0,https://nhadat24h.net.vn/du-an/ban-toa-10-tang-thang-may-mat-pho-nguyen-van-huyen-cau-giay-198m-mat-tien-9m-150-ty/279559, 198 m, 0 m
" 
                                                 Phố Dương Quảng Hàm ,                                                  Phường Quan Hoa ,                                                  Quận Cầu Giấy ,                                                   Thành phố Hà Nội                                              ", Có, 4, MS279560, 78 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 4, 78 m, Sổ Đỏ, Có, 8 m,https://nhadat24h.net.vn/storage/product/12793/unnamed.jpg, Có, BÁN NHÀ DƯƠNG QUẢNG HÀM CẦU GIẤY - MẶT TIỀN RỘNG - Ô TÔ TRÁNH - 78M2 GIÁ CHÀO 14 TỶ., Không," 

                                                                                                14
                                                                                                Tỷ                                            ", 20 m," 
                                                Đường Dương Quảng Hàm, Quan Hoa
                                            ", Không,BÁN NHÀ DƯƠNG QUẢNG HÀM CẦU GIẤY - MẶT TIỀN RỘNG - Ô TÔ TRÁNH - 78M2 GIÁ CHÀO 14 TỶ.,0,https://nhadat24h.net.vn/du-an/ban-nha-duong-quang-ham-cau-giay-mat-tien-rong-o-to-tranh-78m2-gia-chao-14-ty/279560, 78 m, 9.8 m
" 
                                                                                                                                                 Thị xã Nghi Sơn ,                                                   Thành phố Hà Nội                                              ", Không, 5, MS279562, 37 m,Thông tin liên hệ: Sđt/ZaLo 0965283789," 
                                                                                                            Không xác định
                                                    
                                                ", 4, 37 m, Sổ Hồng, Có, 0 m,https://nhadat24h.net.vn/storage/product/9063/z4881385107210-c176fdfcc6785b0db0d3c300db331c1c-3.jpg, Có," Bán nhà Thuỵ Phương, Từ Liêm 37m2  5 Tầng (4 Ngủ) 3.45 Tỷ, Sát Ô Tô Kinh Doanh 0965283789.", Không," 

                                                                                                3.45
                                                                                                Tỷ                                            ", 3.5 m," 
                                                Đường Thụy Phương, Thụy Phương
                                            ", Không,"Bán nhà Thuỵ Phương, Từ Liêm 37m2  5 Tầng (4 Ngủ) 3.45 Tỷ, Sát Ô Tô Kinh Doanh 0965283789.",0,https://nhadat24h.net.vn/du-an/ban-nha-thuy-phuong-tu-liem-37m2-5-tang-4-ngu-345-ty-sat-o-to-kinh-doanh-0965283789/279562, 37 m, 0 m
" 
                                                 Phố Trung Kính ,                                                  Phường Trung Hoà ,                                                  Quận Cầu Giấy ,                                                   Thành phố Hà Nội                                              ", Có, 6, MS279625, 60 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 16, 60 m, Sổ Đỏ, Có, 12 m,https://nhadat24h.net.vn/storage/product/10522/315175133-538384747730004-6770784499796125944-njpg-bak-638200927393943905.jpg, Có," Bán CCMN TRUNG KÍNH 60M2X 6 TẦNG, MẶT TIỀN 5M, 16 PHÒNG KK, NGÕ NÔNG, 11.9 TỶ", Không," 

                                                                                                11.9
                                                                                                Tỷ                                            ", 3.5 m," 
                                                Đường Trung Kính, Trung Hòa
                                            ", Không,"Bán CCMN TRUNG KÍNH 60M2X 6 TẦNG, MẶT TIỀN 5M, 16 PHÒNG KK, NGÕ NÔNG, 11.9 TỶ",0,https://nhadat24h.net.vn/du-an/ban-ccmn-trung-kinh-60m2x-6-tang-mat-tien-5m-16-phong-kk-ngo-nong-119-ty/279625, 60 m, 5 m
" 
                                                 Đường Phú Mỹ ,                                                  Phường Mỹ Đình 2 ,                                                  Quận Nam Từ Liêm ,                                                   Thành phố Hà Nội                                              ", Có, 8, MS279629, 74 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 24, 74 m, Sổ Đỏ, Có, 16 m,https://nhadat24h.net.vn/storage/product/10522/315175133-538384747730004-6770784499796125944-njpg-bak-638200927393943905-1.jpg, Có," Bán CCMN PHÚ MỸ, 74M2X8 TẦNG, T/MÁY, NGÕ THÔNG, Ô TÔ TRÁNH CÁCH 15M, 16.9 TỶ", Không," 

                                                                                                16.9
                                                                                                Tỷ                                            ", 3.5 m," 
                                                Đường Phú Mỹ, Mỹ Đình 2
                                            ", Không,"Bán CCMN PHÚ MỸ, 74M2X8 TẦNG, T/MÁY, NGÕ THÔNG, Ô TÔ TRÁNH CÁCH 15M, 16.9 TỶ",0,https://nhadat24h.net.vn/du-an/ban-ccmn-phu-my-74m2x8-tang-tmay-ngo-thong-o-to-tranh-cach-15m-169-ty/279629, 74 m, 4 m
" 
                                                 Quốc Lộ 1 ,                                                  Xã Vĩnh Thái ,                                                  Thành phố Nha Trang ,                                                   Tỉnh Khánh Hòa                                              ", Có, 3, MS279631, 210 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 4, 210 m, Sổ Hồng, Có, 21 m,https://nhadat24h.net.vn/storage/product/15916/402612645-6726496084135985-588835593975205999-n.jpg, Có," Biệt Thự đẹp gói 2 Mỹ Gia, đã có sổ hoàn công 
giá rẻ 10 tỷ", Không," 

                                                                                                10
                                                                                                Tỷ                                            ", 16 m," 
                                                Đường 1, Vĩnh Thái
                                            ", Không,"Biệt Thự đẹp gói 2 Mỹ Gia, đã có sổ hoàn công 
giá rẻ 10 tỷ",0,https://nhadat24h.net.vn/du-an/biet-thu-dep-goi-2-my-gia-da-co-so-hoan-cong-gia-re-10-ty/279631, 210 m, 10 m
" 
                                                 Đường Nguyễn Thành Vĩnh ,                                                  Phường Trung Mỹ Tây ,                                                  Quận 12 ,                                                   Thành phố Hồ Chí Minh                                              ", Không, 4, MS279632, 56 m,LH: 0989975389 - Ngọc Hường- Chuyên nhà phố," 
                                                                                                            Không xác định
                                                    
                                                ", 5, 56 m, Sổ Hồng, Có, 14 m,https://nhadat24h.net.vn/storage/product/15121/7.jpg, Có, BÁN GẤP NHÀ MẶT TIỀN NGUYỄN THÀNH VĨNH Q.12, Không," 

                                                                                                5.8
                                                                                                Tỷ                                            ", 12 m," 
                                                Đường Nguyễn Thành Vĩnh, Trung Mỹ Tây
                                            ", Không,BÁN GẤP NHÀ MẶT TIỀN NGUYỄN THÀNH VĨNH Q.12,0,https://nhadat24h.net.vn/du-an/ban-gap-nha-mat-tien-nguyen-thanh-vinh-q12/279632, 56 m, 4 m
" 
                                                                                                 Phường Bến Nghé ,                                                  Quận 1 ,                                                   Thành phố Hồ Chí Minh                                              ", Không, 0, MS279585, 0 m,Mô tả:," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 0 m, Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/, Có, nhà đất, Không,, 1 m," 
                                                Đường 15B, Bến Nghé
                                            ", Không,nhà đất,0,https://nhadat24h.net.vn/du-an/nha-dat/279585, 0 m, 0 m
" 
                                                 Đường Yên Bài ,                                                  Xã Yên Bài ,                                                  Huyện Ba Vì ,                                                   Thành phố Hà Nội                                              ", Có, 2, MS279587, 250 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 3, 250 m, Sổ Đỏ, Có, 7 m,https://nhadat24h.net.vn/storage/product/12817/img-7870-300x221.jpg, Có," Bán biệt thự nghỉ dưỡng diện tích sổ đỏ lâu dài tại Resort Rose Yên Bài, Ba Vì", Không," 

                                                                                                7
                                                                                                Tỷ                                            ", 1 m," 
                                                Đường Yên Bài, Yên Bài
                                            ", Không,"Bán biệt thự nghỉ dưỡng diện tích sổ đỏ lâu dài tại Resort Rose Yên Bài, Ba Vì",0,https://nhadat24h.net.vn/du-an/ban-biet-thu-nghi-duong-dien-tich-so-do-lau-dai-tai-resort-rose-yen-bai-ba-vi/279587, 250 m, 5 m
" 
                                                                                                 Thị trấn Phú Mỹ ,                                                  Huyện Tân Thành ,                                                   Tỉnh Bà Rịa - Vũng Tàu                                              ", Không, 0, MS279595, 133 m,Giá rẻ quá là rẻ luôn. Tại KP1 Hắc Dịch.," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 133 m, Sổ Đỏ, Không, 0 m,https://nhadat24h.net.vn/storage/product/15466/z4835525022586-6e238abdc7e25ebd5d8937fd4edab65f.jpg, Không," chính chủ bán đất Đường QL 51-Thị xã Phú Mỹ -Giá Dưới 2 Tỷ ,LH 0966943807", Không," 

                                                                                                1
                                                                                                Tỷ                                            ", 10 m," 
                                                Đường Ql 51, Phú Mỹ
                                            ", Không,"chính chủ bán đất Đường QL 51-Thị xã Phú Mỹ -Giá Dưới 2 Tỷ ,LH 0966943807",0,https://nhadat24h.net.vn/du-an/chinh-chu-ban-dat-duong-ql-51-thi-xa-phu-my-gia-duoi-2-ty-lh-0966943807/279595, 133 m, 0 m
" 
                                                                                                 Phường Long Thạnh Mỹ ,                                                  Quận 9 ,                                                   Thành phố Hồ Chí Minh                                              ", Không, 0, MS279600, 60 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 60 m, Sổ Hồng, Không, 0 m,https://nhadat24h.net.vn/storage/product/15461/z4920662123134-39bdaf92602702ec1eeff3fff82aca11.jpg, Không, Cần bán lô đất Góc 2 mặt tiền Đường Hoàng Hữu Nam-Phường Long Thạnh Mỹ- Quận 9, Không," 

                                                                                                4.8
                                                                                                Tỷ                                            ", 8 m," 
                                                Đường hoàng hữu nam, Long Thạnh Mỹ
                                            ", Không,Cần bán lô đất Góc 2 mặt tiền Đường Hoàng Hữu Nam-Phường Long Thạnh Mỹ- Quận 9,0,https://nhadat24h.net.vn/du-an/can-ban-lo-dat-goc-2-mat-tien-duong-hoang-huu-nam-phuong-long-thanh-my-quan-9/279600, 60 m, 0 m
" 
                                                 Đường Ngô Xuân Quảng ,                                                  Thị trấn Trâu Quỳ ,                                                  Huyện Gia Lâm ,                                                   Thành phố Hà Nội                                              ", Không, 0, MS279568, 112 m,," 
                                                                                                            Không xác định
                                                    
                                                ", 0, 112 m, Sổ Hồng, Không, 15 m,https://nhadat24h.net.vn/storage/product/9590/mua-ban-nha-dat-trau-quy-dang-xa-co-bi-dong-du-da-ton-kim-son-le-chi-chung-cu-blue-star-vin-gia-lam-ha-noi-0989894845-245.jpg, Không," Chuyển nhượng 112m2 đất Ngô Xuân Quảng, Trâu Quỳ, Gia Lâm. Lh 0989894845", Không," 

                                                                                                7.999
                                                                                                Tỷ                                            ", 4 m," 
                                                Đường Ngô Xuân Quảng, Trâu Quỳ
                                            ", Không,"Chuyển nhượng 112m2 đất Ngô Xuân Quảng, Trâu Quỳ, Gia Lâm. Lh 0989894845",0,https://nhadat24h.net.vn/du-an/chuyen-nhuong-112m2-dat-ngo-xuan-quang-trau-quy-gia-lam-lh-0989894845/279568, 112 m, 7 m
