,bathroom,bedroom,code,date,description,direct,floor,ground_area,juridical,kitchen,length,link_image,livingroom,name_project,parking,price,road_width,specific_address,terrace,title,type,url_page,usable_area,width,ward,district,province,street
10, Có,1 pn, MS279537,,None,,1 t, 0 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/, Có, BÁN NHÀ MỚI TÂN BÌNH-KHU VIP BIỆT THỰ BÀNH VĂN TRÂN-P7-HẺM 10M CÓ VỈA HÈ 3M-4TẦNG-4x15-DTSD 240M2-4PN-NỘI THẤT GỖ CAO CẤP-GIÁ RẺ 13TỶ TL, Không,0, 1 m,"Đường Bành Văn Trân, 1", Không,BÁN NHÀ MỚI TÂN BÌNH-KHU VIP BIỆT THỰ BÀNH VĂN TRÂN-P7-HẺM 10M CÓ VỈA HÈ 3M-4TẦNG-4x15-DTSD 240M2-4PN-NỘI THẤT GỖ CAO CẤP-GIÁ RẺ 13TỶ TL,0,https://nhadat24h.net.vn/du-an/ban-nha-moi-tan-binh-khu-vip-biet-thu-banh-van-tran-p7-hem-10m-co-via-he-3m-4tang-4x15-dtsd-240m2-4pn-noi-that-go-cao-cap-gia-re-13ty-tl/279537, 0 m, 0 m,01,Tân Bình,Hồ Chí Minh,Bành Văn Trân
11, Có,12 pn, MS279540,,None,Đông Bắc,2 t, 65 m,Sổ Đỏ, Có, 11 m,https://nhadat24h.net.vn/storage/product/14772/398324090-7682747085075221-2168135957405432385-n-2.jpg, Có," Quỹ căn cuối cùng chung cư giá rẻ tại Việt Hưng- Long Biên. 2,2 tỷ căn góc siêu đẹp 63m2", Không,2250000000, 20 m,"Đường Việt Hưng, Việt Hưng", Không,"Quỹ căn cuối cùng chung cư giá rẻ tại Việt Hưng- Long Biên. 2,2 tỷ căn góc siêu đẹp 63m2",0,https://nhadat24h.net.vn/du-an/quy-can-cuoi-cung-chung-cu-gia-re-tai-viet-hung-long-bien-22-ty-can-goc-sieu-dep-63m2/279540, 65 m, 6 m,Việt Hưng,Long Biên,Hà Nội,Việt Hưng
12, Có,3 pn, MS279542,,⭐️ Địa Điểm Nhà Bán⭐️ ,,3 t, 50 m,Sổ Hồng, Có, 15 m,https://nhadat24h.net.vn/storage/product/8631/z4822161898712-9f9671a8d6773da5f10ac4446e8311ae.jpg, Có, 🆘Bán Nhà Mặt TIền Đoạn Đẹp Lê Văn Sỹ Quận 3 - 3 Tầng - Chỉ 21.5 Tỷ, Không,21500000000, 20 m,"Đường Lê Văn Sỹ, 14", Không,🆘Bán Nhà Mặt TIền Đoạn Đẹp Lê Văn Sỹ Quận 3 - 3 Tầng - Chỉ 21.5 Tỷ,0,https://nhadat24h.net.vn/du-an/ban-nha-mat-tien-doan-dep-le-van-sy-quan-3-3-tang-chi-215-ty/279542, 50 m, 4.1 m,14,3,Hồ Chí Minh,Lê Văn Sỹ
13, Có,7 pn, MS279544,,None,,13 t, 74 m,Sổ Đỏ, Có, 13 m,https://nhadat24h.net.vn/storage/product/16263/z4905576869342-9ebb6798fcea1f58b94af046c1f9647d.jpg, Có," Bán Khách sạn mặt tiền đường Hai Bà Trưng, Đà lạt. Diện tích 74m, đà hoàn công, pháp lý rõ ràng, Hạ giá chỉ còn 18 tỷ 500 triệu.", Không,18500000000, 10 m,"Đường Hai Bà Trưng, 6", Không,"Bán Khách sạn mặt tiền đường Hai Bà Trưng, Đà lạt. Diện tích 74m, đà hoàn công, pháp lý rõ ràng, Hạ giá chỉ còn 18 tỷ 500 triệu.",0,https://nhadat24h.net.vn/du-an/ban-khach-san-mat-tien-duong-hai-ba-trung-da-lat-dien-tich-74m-da-hoan-cong-phap-ly-ro-rang-ha-gia-chi-con-18-ty-500-trieu/279544, 74 m, 5.5 m,None,Nho Quan,Lâm Đồng,None
14, Có,3 pn, MS279552,,None,,4 t, 88 m,Sổ Hồng, Có, 20 m,https://nhadat24h.net.vn/storage/product/14910/320431745-538123405026387-7351636433420724591-n-1.jpg, Có," Bán Gấp Nhà HXH Đường số 3, 3 Tầng 88m2 Ngang 4.5m Chỉ 6.9 Tỷ", Không,6900000000, 5 m,"Đường Đường Số 3, 9", Không,"Bán Gấp Nhà HXH Đường số 3, 3 Tầng 88m2 Ngang 4.5m Chỉ 6.9 Tỷ",0,https://nhadat24h.net.vn/du-an/ban-gap-nha-hxh-duong-so-3-3-tang-88m2-ngang-45m-chi-69-ty/279552, 88 m, 4.5 m,9,Gò Vấp,Hồ Chí Minh,Số 3
15, Không,7 pn, MS279554,,None,,1 t, 71 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/8630/378274597-857895459227635-1025524514511029947-n.jpg, Có," Bán nhà 7 tầng thang máy mặt phố Láng, Đống Đa, doanh thu hơn 1 tỷ/năm, 71m, 26.5 tỷ.", Không,26500000000, 1 m,"Đường Láng, Thịnh Quang", Không,"Bán nhà 7 tầng thang máy mặt phố Láng, Đống Đa, doanh thu hơn 1 tỷ/năm, 71m, 26.5 tỷ.",0,https://nhadat24h.net.vn/du-an/ban-nha-7-tang-thang-may-mat-pho-lang-dong-da-doanh-thu-hon-1-tynam-71m-265-ty/279554, 71 m, 0 m,Thịnh Quang,Đống Đa,Hà Nội,Chùa Láng
16, Không,10 pn, MS279559,,None,,1 t, 198 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/7822/375282637-2652026348281094-1466818103348208424-n.jpg, Có," Bán tòa 10 tầng thang máy mặt phố Nguyễn Văn Huyên, Cầu Giấy, 198m, Mặt Tiền 9m, 150 tỷ.", Không,150000000000, 1 m,"Đường Nguyễn Văn Huyên, Quan Hoa", Không,"Bán tòa 10 tầng thang máy mặt phố Nguyễn Văn Huyên, Cầu Giấy, 198m, Mặt Tiền 9m, 150 tỷ.",0,https://nhadat24h.net.vn/du-an/ban-toa-10-tang-thang-may-mat-pho-nguyen-van-huyen-cau-giay-198m-mat-tien-9m-150-ty/279559, 198 m, 0 m,Quan Hoa,Cầu Giấy,Hà Nội,Nguyễn Văn Huyên
17, Có,4 pn, MS279560,,None,,4 t, 78 m,Sổ Đỏ, Có, 8 m,https://nhadat24h.net.vn/storage/product/12793/unnamed.jpg, Có, BÁN NHÀ DƯƠNG QUẢNG HÀM CẦU GIẤY - MẶT TIỀN RỘNG - Ô TÔ TRÁNH - 78M2 GIÁ CHÀO 14 TỶ., Không,14000000000, 20 m,"Đường Dương Quảng Hàm, Quan Hoa", Không,BÁN NHÀ DƯƠNG QUẢNG HÀM CẦU GIẤY - MẶT TIỀN RỘNG - Ô TÔ TRÁNH - 78M2 GIÁ CHÀO 14 TỶ.,0,https://nhadat24h.net.vn/du-an/ban-nha-duong-quang-ham-cau-giay-mat-tien-rong-o-to-tranh-78m2-gia-chao-14-ty/279560, 78 m, 9.8 m,Quan Hoa,Cầu Giấy,Hà Nội,Dương Quảng Hàm
18, Không,5 pn, MS279562,,Thông tin liên hệ: Sđt/ZaLo 0965283789,,4 t, 37 m,Sổ Hồng, Có, 0 m,https://nhadat24h.net.vn/storage/product/9063/z4881385107210-c176fdfcc6785b0db0d3c300db331c1c-3.jpg, Có," Bán nhà Thuỵ Phương, Từ Liêm 37m2  5 Tầng (4 Ngủ) 3.45 Tỷ, Sát Ô Tô Kinh Doanh 0965283789.", Không,3450000000, 3.5 m,"Đường Thụy Phương, Thụy Phương", Không,"Bán nhà Thuỵ Phương, Từ Liêm 37m2  5 Tầng (4 Ngủ) 3.45 Tỷ, Sát Ô Tô Kinh Doanh 0965283789.",0,https://nhadat24h.net.vn/du-an/ban-nha-thuy-phuong-tu-liem-37m2-5-tang-4-ngu-345-ty-sat-o-to-kinh-doanh-0965283789/279562, 37 m, 0 m,None,None,Hà Nội,None
19, Có,6 pn, MS279625,,None,,16 t, 60 m,Sổ Đỏ, Có, 12 m,https://nhadat24h.net.vn/storage/product/10522/315175133-538384747730004-6770784499796125944-njpg-bak-638200927393943905.jpg, Có," Bán CCMN TRUNG KÍNH 60M2X 6 TẦNG, MẶT TIỀN 5M, 16 PHÒNG KK, NGÕ NÔNG, 11.9 TỶ", Không,11900000000, 3.5 m,"Đường Trung Kính, Trung Hòa", Không,"Bán CCMN TRUNG KÍNH 60M2X 6 TẦNG, MẶT TIỀN 5M, 16 PHÒNG KK, NGÕ NÔNG, 11.9 TỶ",0,https://nhadat24h.net.vn/du-an/ban-ccmn-trung-kinh-60m2x-6-tang-mat-tien-5m-16-phong-kk-ngo-nong-119-ty/279625, 60 m, 5 m,Trung Hoà,Cầu Giấy,Hà Nội,Trung Kính
20, Có,8 pn, MS279629,,None,,24 t, 74 m,Sổ Đỏ, Có, 16 m,https://nhadat24h.net.vn/storage/product/10522/315175133-538384747730004-6770784499796125944-njpg-bak-638200927393943905-1.jpg, Có," Bán CCMN PHÚ MỸ, 74M2X8 TẦNG, T/MÁY, NGÕ THÔNG, Ô TÔ TRÁNH CÁCH 15M, 16.9 TỶ", Không,16899999999, 3.5 m,"Đường Phú Mỹ, Mỹ Đình 2", Không,"Bán CCMN PHÚ MỸ, 74M2X8 TẦNG, T/MÁY, NGÕ THÔNG, Ô TÔ TRÁNH CÁCH 15M, 16.9 TỶ",0,https://nhadat24h.net.vn/du-an/ban-ccmn-phu-my-74m2x8-tang-tmay-ngo-thong-o-to-tranh-cach-15m-169-ty/279629, 74 m, 4 m,Mỹ Đình 2,Nam Từ Liêm,Hà Nội,Phú Mỹ
21, Có,3 pn, MS279631,,None,,4 t, 210 m,Sổ Hồng, Có, 21 m,https://nhadat24h.net.vn/storage/product/15916/402612645-6726496084135985-588835593975205999-n.jpg, Có," Biệt Thự đẹp gói 2 Mỹ Gia, đã có sổ hoàn công 
giá rẻ 10 tỷ", Không,10000000000, 16 m,"Đường 1, Vĩnh Thái", Không,"Biệt Thự đẹp gói 2 Mỹ Gia, đã có sổ hoàn công 
giá rẻ 10 tỷ",0,https://nhadat24h.net.vn/du-an/biet-thu-dep-goi-2-my-gia-da-co-so-hoan-cong-gia-re-10-ty/279631, 210 m, 10 m,Vĩnh Thái,None,Khánh Hòa,None
22, Không,4 pn, MS279632,,LH: 0989975389 - Ngọc Hường- Chuyên nhà phố,,5 t, 56 m,Sổ Hồng, Có, 14 m,https://nhadat24h.net.vn/storage/product/15121/7.jpg, Có, BÁN GẤP NHÀ MẶT TIỀN NGUYỄN THÀNH VĨNH Q.12, Không,5800000000, 12 m,"Đường Nguyễn Thành Vĩnh, Trung Mỹ Tây", Không,BÁN GẤP NHÀ MẶT TIỀN NGUYỄN THÀNH VĨNH Q.12,0,https://nhadat24h.net.vn/du-an/ban-gap-nha-mat-tien-nguyen-thanh-vinh-q12/279632, 56 m, 4 m,Trung Mỹ Tây,12,Hồ Chí Minh,Nguyễn Thành Vĩnh
23, Không,0, MS279585,,Mô tả:,,0, 0 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/, Có, nhà đất, Không,0, 1 m,"Đường 15B, Bến Nghé", Không,nhà đất,0,https://nhadat24h.net.vn/du-an/nha-dat/279585, 0 m, 0 m,Bến Nghé,1,Hồ Chí Minh,None
24, Có,2 pn, MS279587,,None,,3 t, 250 m,Sổ Đỏ, Có, 7 m,https://nhadat24h.net.vn/storage/product/12817/img-7870-300x221.jpg, Có," Bán biệt thự nghỉ dưỡng diện tích sổ đỏ lâu dài tại Resort Rose Yên Bài, Ba Vì", Không,7000000000, 1 m,"Đường Yên Bài, Yên Bài", Không,"Bán biệt thự nghỉ dưỡng diện tích sổ đỏ lâu dài tại Resort Rose Yên Bài, Ba Vì",0,https://nhadat24h.net.vn/du-an/ban-biet-thu-nghi-duong-dien-tich-so-do-lau-dai-tai-resort-rose-yen-bai-ba-vi/279587, 250 m, 5 m,Yên Bài,Ba Vì,Hà Nội,Yên Bài
25, Không,0, MS279595,,Giá rẻ quá là rẻ luôn. Tại KP1 Hắc Dịch.,,0, 133 m,Sổ Đỏ, Không, 0 m,https://nhadat24h.net.vn/storage/product/15466/z4835525022586-6e238abdc7e25ebd5d8937fd4edab65f.jpg, Không," chính chủ bán đất Đường QL 51-Thị xã Phú Mỹ -Giá Dưới 2 Tỷ ,LH 0966943807", Không,1000000000, 10 m,"Đường Ql 51, Phú Mỹ", Không,"chính chủ bán đất Đường QL 51-Thị xã Phú Mỹ -Giá Dưới 2 Tỷ ,LH 0966943807",0,https://nhadat24h.net.vn/du-an/chinh-chu-ban-dat-duong-ql-51-thi-xa-phu-my-gia-duoi-2-ty-lh-0966943807/279595, 133 m, 0 m,None,Tân Thành,Bà Rịa - Vũng Tàu,None
26, Không,0, MS279600,,None,,0, 60 m,Sổ Hồng, Không, 0 m,https://nhadat24h.net.vn/storage/product/15461/z4920662123134-39bdaf92602702ec1eeff3fff82aca11.jpg, Không, Cần bán lô đất Góc 2 mặt tiền Đường Hoàng Hữu Nam-Phường Long Thạnh Mỹ- Quận 9, Không,4800000000, 8 m,"Đường hoàng hữu nam, Long Thạnh Mỹ", Không,Cần bán lô đất Góc 2 mặt tiền Đường Hoàng Hữu Nam-Phường Long Thạnh Mỹ- Quận 9,0,https://nhadat24h.net.vn/du-an/can-ban-lo-dat-goc-2-mat-tien-duong-hoang-huu-nam-phuong-long-thanh-my-quan-9/279600, 60 m, 0 m,Long Thạnh Mỹ,9,Hồ Chí Minh,None
27, Không,0, MS279568,,None,,0, 112 m,Sổ Hồng, Không, 15 m,https://nhadat24h.net.vn/storage/product/9590/mua-ban-nha-dat-trau-quy-dang-xa-co-bi-dong-du-da-ton-kim-son-le-chi-chung-cu-blue-star-vin-gia-lam-ha-noi-0989894845-245.jpg, Không," Chuyển nhượng 112m2 đất Ngô Xuân Quảng, Trâu Quỳ, Gia Lâm. Lh 0989894845", Không,7999000000, 4 m,"Đường Ngô Xuân Quảng, Trâu Quỳ", Không,"Chuyển nhượng 112m2 đất Ngô Xuân Quảng, Trâu Quỳ, Gia Lâm. Lh 0989894845",0,https://nhadat24h.net.vn/du-an/chuyen-nhuong-112m2-dat-ngo-xuan-quang-trau-quy-gia-lam-lh-0989894845/279568, 112 m, 7 m,None,Gia Lâm,Hà Nội,Ngô Xuân Quảng
28, Không,7 pn, MS279567,,None,,1 t, 77 m,Sổ Đỏ, Có, 0 m,https://nhadat24h.net.vn/storage/product/7822/401600767-4439825902952691-602527605239893446-n.jpg, Có," Bán nhà 7 tầng mặt phố Xã Đàn, Đống Đa, quy hoạch ổn định, 77m, mặt tiền 6.5m, 40 tỷ.", Không,40000000000, 1 m,"Đường Xã Đàn, Phương Liên", Không,"Bán nhà 7 tầng mặt phố Xã Đàn, Đống Đa, quy hoạch ổn định, 77m, mặt tiền 6.5m, 40 tỷ.",0,https://nhadat24h.net.vn/du-an/ban-nha-7-tang-mat-pho-xa-dan-dong-da-quy-hoach-on-dinh-77m-mat-tien-65m-40-ty/279567, 77 m, 0 m,Phương Liên,Đống Đa,Hà Nội,Xã Đàn
29, Có,5 pn, MS279572,,"+ Sổ chính chủ, vuông vắn.( có ảnh minh họa kín tiếng)",,5 t, 105 m,Sổ Đỏ, Có, 15 m,https://nhadat24h.net.vn/storage/product/12623/r-5.jpg, Có, BÁN NHÀ PHẠM TUẤN TÀI BẮC TỪ LIÊM -VỈA HÈ SIÊU RỘNG - Ô TÔ TRÁNH - KINH DOANH ĐỈNH - 105M2 GIÁ CHÀO 34 TỶ., Không,34000000000, 20 m,"Đường Phạm Tuấn Tài, Cổ Nhuế 1", Không,BÁN NHÀ PHẠM TUẤN TÀI BẮC TỪ LIÊM -VỈA HÈ SIÊU RỘNG - Ô TÔ TRÁNH - KINH DOANH ĐỈNH - 105M2 GIÁ CHÀO 34 TỶ.,0,https://nhadat24h.net.vn/du-an/ban-nha-pham-tuan-tai-bac-tu-liem-via-he-sieu-rong-o-to-tranh-kinh-doanh-dinh-105m2-gia-chao-34-ty/279572, 105 m, 7 m,None,None,Hà Nội,None
30, Không,0, MS279577,,None,,0, 55 m,Sổ Hồng, Không, 0 m,https://nhadat24h.net.vn/storage/product/9590/mua-ban-nha-dat-trau-quy-dang-xa-co-bi-dong-du-da-ton-kim-son-le-chi-chung-cu-blue-star-vin-gia-lam-ha-noi-0989894845-1-1.jpg, Không," 55m2 đất Ngô Xuân Quảng, Trâu Quỳ, Gia Lâm, Hà Nội. 7 chỗ vào nhà. Lh 0989894845", Không,3999000000, 4 m,"Đường Ngô Xuân Quảng, Trâu Quỳ", Không,"55m2 đất Ngô Xuân Quảng, Trâu Quỳ, Gia Lâm, Hà Nội. 7 chỗ vào nhà. Lh 0989894845",0,https://nhadat24h.net.vn/du-an/55m2-dat-ngo-xuan-quang-trau-quy-gia-lam-ha-noi-7-cho-vao-nha-lh-0989894845/279577, 55 m, 0 m,None,Gia Lâm,Hà Nội,Ngô Xuân Quảng
31, Không,0, MS279666,,Điện thoại : 0966127128/0979125725 ,,0, 70 m,Sổ Đỏ, Không, 15.6 m,https://nhadat24h.net.vn/storage/product/13428/z4889355694988-d0a2fcf70e9c0da8e3cf0ffba4677429-1.jpg, Không, Bán đất Đấu giá Phú Lương 1 lô E6- phân lô vỉa hè- 70m2- nhỉnh 4 tỷ, Không,4200000000, 1 m,"Đường 21B, Phú Lương", Không,Bán đất Đấu giá Phú Lương 1 lô E6- phân lô vỉa hè- 70m2- nhỉnh 4 tỷ,0,https://nhadat24h.net.vn/du-an/ban-dat-dau-gia-phu-luong-1-lo-e6-phan-lo-via-he-70m2-nhinh-4-ty/279666, 70 m, 4.5 m,Phú Lương,Hà Đông,Hà Nội,None
32, Có,10 pn, MS279668,,"Giá bán chỉ có 2,1 tỷ đồng, rẻ nhất thị trường chuyển nhượng.",Đông Nam,3 t, 76 m,Sổ Đỏ, Có, 10 m,https://nhadat24h.net.vn/storage/product/15978/z4914152011115-4f8410a8f7ba12293c7988740b631e3a.jpg, Có," Chủ nhà cần bán cắt lỗ sâu căn hộ 3PN2WC - Giá chỉ có 2,1 tỷ", Không,2100000000, 30 m,"Đường S, Đa Tốn", Không,"Chủ nhà cần bán cắt lỗ sâu căn hộ 3PN2WC - Giá chỉ có 2,1 tỷ",0,https://nhadat24h.net.vn/du-an/chu-nha-can-ban-cat-lo-sau-can-ho-3pn2wc-gia-chi-co-21-ty/279668, 76 m, 8 m,Đa Tốn,Gia Lâm,Hà Nội,Nguyễn Sơn
33, Có,6 pn, MS279671,,None,,4 t, 43 m,Sổ Đỏ, Có, 13 m,https://nhadat24h.net.vn/storage/product/15003/2-9.jpg, Có," HÓT! Nhà 6 Tầng Mặt Phố Nguyễn Đình Hoàn-Cầu Giấy, Vỉa Hè,Oto Đỗ, KDoanh,Nhỉnh 10 Tỷ", Không,10800000000, 9 m,"Đường Nguyễn Đình Hoàn, Quan Hoa", Không,"HÓT! Nhà 6 Tầng Mặt Phố Nguyễn Đình Hoàn-Cầu Giấy, Vỉa Hè,Oto Đỗ, KDoanh,Nhỉnh 10 Tỷ",0,https://nhadat24h.net.vn/du-an/hot-nha-6-tang-mat-pho-nguyen-dinh-hoan-cau-giay-via-heoto-do-kdoanhnhinh-10-ty/279671, 43 m, 3.6 m,Quan Hoa,Cầu Giấy,Hà Nội,Nguyễn Đình Hoàn
34, Có,4 pn, MS279675,,None,,3 t, 100 m,Sổ Hồng, Có, 25 m,https://nhadat24h.net.vn/storage/product/16293/unnamed-1-1.jpg, Có, QUẬN 12 MẶT TIỀN NGUYỄN THỊ KIỂU 3 TẦNG 4x25 100m2 . GIÁ 5TỶ.X, Không,5000000000, 10 m,"Đường Nguyễn Thị Kiểu, Hiệp Thành", Không,QUẬN 12 MẶT TIỀN NGUYỄN THỊ KIỂU 3 TẦNG 4x25 100m2 . GIÁ 5TỶ.X,0,https://nhadat24h.net.vn/du-an/quan-12-mat-tien-nguyen-thi-kieu-3-tang-4x25-100m2-gia-5tyx/279675, 100 m, 4 m,Hiệp Thành,12,Hồ Chí Minh,Nguyễn Thị Kiểu
